Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Conv1_1,50000,62500,0,62500,62500,50,35616,9128,71676,148170,148166,48.37
Conv1_2,45000,62500,50000,12500,12500,50,8904,2048,17664,66458,66454,26.58
Pool1,10000,3750,3750,0,0,50,35688,0,45371,45741,45738,99.19
Conv2_1,60000,62500,10000,52500,52500,50,35616,11328,73911,148170,148166,49.88
Conv2_2,55000,62500,60000,2500,2500,50,8419,1024,16640,65973,65969,25.22
Pool2,5000,3750,3750,0,0,50,35688,0,40412,40741,40738,99.19
Conv3_1,70000,62500,5000,57500,57500,50,35616,13376,75964,163170,163166,46.56
Conv3_2,65000,62500,62500,0,0,50,35688,13312,75776,100741,100738,75.22
Conv3_3,65000,62500,62500,0,0,50,8202,512,16128,73255,73252,22.02
Pool3,2000,3750,3750,0,0,50,8130,0,8064,10183,10180,79.19
TOTAL,427000,448750,261250,187500,187500,500,247567,50728,441606,862602,862567,51.19
